Random,Ordered,Reverse,Shuffle
0.2928292,0.1003017,0.1153443,0.1190672
0.2885316,0.1020009,0.1130633,0.1199299
0.2913153,0.102303,0.1142207,0.1197898
0.2970007,0.1021753,0.1116601,0.1191467
0.286168,0.1006722,0.1121338,0.1197532
0.287137,0.1001197,0.111821,0.1192959
0.2901132,0.1001861,0.1118658,0.119802
0.2954884,0.1006497,0.1126098,0.1188669
0.2891873,0.100101,0.1111873,0.1206052
0.291362,0.1027657,0.1122455,0.1182473
0.2883763,0.1003403,0.111431,0.1194796
0.3024138,0.1016206,0.1108216,0.119946
0.3004922,0.0999245,0.1116586,0.121266
0.3156917,0.1000109,0.1123484,0.1186744
0.2950926,0.1002996,0.1127025,0.120449
0.298147,0.1001249,0.1116674,0.1183397
0.2961888,0.1004436,0.1135087,0.1215247
0.2896348,0.1005278,0.1118843,0.1198032
0.2902417,0.1008894,0.1129231,0.1200557
0.3020411,0.1017517,0.1117219,0.1196803
0.2979942,0.1005956,0.1119515,0.1200569
0.2944539,0.1007526,0.1130253,0.1213123
0.2895425,0.1021893,0.1124344,0.1199094
0.2964042,0.1011898,0.1131592,0.1194647
0.292518,0.1003482,0.1111909,0.1195537
0.293572,0.1024205,0.1123514,0.1195606
0.2884614,0.1016986,0.112752,0.1212482
0.2891639,0.0999587,0.1127172,0.1202128
0.2893284,0.1005817,0.1115193,0.1196013
0.2889485,0.1009368,0.1132137,0.1199162
0.2896882,0.1001972,0.1123301,0.1195782
0.286323,0.100819,0.1127034,0.1195504
0.2869906,0.0999603,0.1123149,0.1192254
0.2915981,0.1003807,0.1115243,0.1217221
0.2915691,0.1001638,0.1133968,0.1193041
0.2935346,0.1007338,0.1117747,0.1206487
0.2935021,0.1025853,0.1121943,0.1194337
0.294738,0.1014429,0.1116718,0.1195592
0.3090712,0.1010741,0.1121944,0.1205779
0.2923988,0.1037269,0.1112865,0.1211317
0.2886952,0.1009795,0.1122912,0.1188389
0.3001694,0.1022412,0.1123227,0.1209457
0.2887587,0.103378,0.1129781,0.1215797
0.2870322,0.1027045,0.1122966,0.1199362
0.2856885,0.1024491,0.1127771,0.1183403
0.2868947,0.1284135,0.1120521,0.1201058
0.2891572,0.1066119,0.1129542,0.1182459
0.2986282,0.1098438,0.113032,0.1199269
0.2924108,0.1067421,0.1124972,0.1192035
0.295553,0.1086112,0.1134796,0.1192094
0.2933584,0.1050986,0.1119418,0.1202008
0.292905,0.1063485,0.1125943,0.1203102
0.296338,0.1056448,0.112709,0.1190429
0.3012652,0.1042456,0.1133504,0.1196291
0.2892859,0.1051436,0.1125291,0.1198786
0.2890029,0.1040106,0.1108915,0.1205639
0.2915493,0.1034254,0.1127656,0.1207569
0.3058375,0.1028081,0.1131955,0.1191774
0.2905338,0.102772,0.1134968,0.1204434
0.2988161,0.1044134,0.1117192,0.1185764
0.2875222,0.1038243,0.1126019,0.1208479
0.297654,0.1035647,0.1110041,0.1188528
0.2847993,0.1031516,0.1125174,0.1198804
0.2849754,0.1039646,0.1120193,0.1195832
0.288374,0.1048784,0.1120895,0.1192122
0.3012976,0.1034442,0.112334,0.1195769
0.2962783,0.1021869,0.1117841,0.1201797
0.2989582,0.1030916,0.1115946,0.118508
0.2960478,0.1038225,0.1126639,0.1204603
0.2889445,0.1039918,0.1124685,0.1196327
0.2876853,0.1032403,0.1127867,0.1198152
0.2887695,0.1041536,0.113754,0.1194313
0.2989559,0.1042128,0.112457,0.1199718
0.2918476,0.1041127,0.1118933,0.1189509
0.2939681,0.1049313,0.1122663,0.119898
0.2942619,0.1035216,0.1127315,0.1195234
0.3025823,0.104314,0.1138482,0.1201068
0.3002031,0.1039667,0.1113404,0.1191145
0.2937353,0.1029508,0.1129307,0.1196724
0.3273788,0.1042072,0.112945,0.1206685
0.3126151,0.1038555,0.1128119,0.1205423
0.3035217,0.1052827,0.1116496,0.1198
0.3015718,0.1028553,0.1116817,0.1194047
0.3014404,0.1036584,0.1125114,0.1192862
0.3039288,0.1033756,0.1127458,0.1202365
0.3261641,0.1035196,0.1123422,0.1207348
0.332736,0.103895,0.1103466,0.1187215
0.3118394,0.1029985,0.1133073,0.1202968
0.3116996,0.1042154,0.112519,0.1200004
0.292419,0.1039058,0.1133491,0.1233038
0.3056388,0.1040337,0.1119723,0.1189117
0.298604,0.1032566,0.112696,0.1193778
0.2918562,0.1031106,0.1126212,0.1184252
0.3003854,0.1033515,0.1124428,0.1187634
0.2918304,0.103668,0.1126721,0.1201636
0.2916259,0.1036958,0.1121122,0.120707
0.2922792,0.1034865,0.1123064,0.1183494
0.2909237,0.1040276,0.1129082,0.1200654
0.2906599,0.1048406,0.1123014,0.119366
0.2953207,0.1065689,0.1122736,0.1199155
